"","X1101.2.gtf","X1548.2.gtf","X1628.2.gtf","Sample4.2.gtf","Sample5.2.gtf","Sample6.2.gtf"
"MSTRG.44908",372,421,519,7,5,11
"MSTRG.44905",322,324,189,29,12,16
"MSTRG.44904",87,59,76,4,8,10
"MSTRG.44906",671,569,422,74,68,80
"MSTRG.44901",246,389,354,22,2,14
"MSTRG.44900",1086,862,1234,23,12,11
"MSTRG.44902",982,772,549,30,17,25
"MSTRG.40214",1056,1155,1635,27,33,21
"MSTRG.40217",42,43,85,3,8,7
"MSTRG.40216",43,3,90,0,12,7
"MSTRG.40211",3988,5197,3290,121,83,102
"MSTRG.40213",33,38,39,30,34,16
"MSTRG.40212",1194,1475,1014,58,48,45
"MSTRG.42507",68,65,35,6,4,6
"MSTRG.42506",3,2,3,41,41,32
"MSTRG.42505",1645,1138,1186,251,75,251
"MSTRG.42503",54,64,67,28,28,27
"MSTRG.36224",869,727,694,21,23,30
"MSTRG.36227",474,251,290,24,19,19
"MSTRG.42500",173,112,259,19,9,12
"MSTRG.36228",321,282,256,12,10,17
"MSTRG.18560",2,3,0,32,20,19
"MSTRG.20059",31,18,23,31,23,47
"MSTRG.9872",475,415,241,54,50,50
"MSTRG.9539",49,41,9,8,10,17
"MSTRG.4728",164,88,30,35,28,33
"MSTRG.4729",277,353,231,32,56,48
"MSTRG.9530",278,181,83,9,0,18
"MSTRG.9531",866,395,546,17,0,0
"MSTRG.9532",959,953,574,15,17,10
"MSTRG.4721",1058,1236,573,109,107,121
"MSTRG.9535",0,0,0,19,28,29
"MSTRG.4724",857,737,626,53,36,46
"MSTRG.9537",281,310,198,7,0,19
"MSTRG.48630",32,18,3,16,9,16
"MSTRG.31620",469,320,355,40,26,29
"MSTRG.31621",33,15,5,83,58,31
"MSTRG.31623",36,39,39,14,7,13
"MSTRG.31626",1899,1429,952,46,51,57
"MSTRG.31629",1010,394,359,9,0,17
"MSTRG.957",7,13,7,24,31,28
"MSTRG.35751",0,3,0,12,20,16
"MSTRG.35752",0,0,0,14,22,19
"MSTRG.35753",186,375,147,0,12,10
"MSTRG.35756",222,363,121,10,11,9
"MSTRG.35757",225,115,146,14,18,7
"MSTRG.35759",19,35,17,28,28,25
"MSTRG.39887",11,2,3,50,44,55
"MSTRG.39881",0,0,0,13,24,23
"MSTRG.39882",390,273,549,0,5,6
"MSTRG.39888",93,84,156,4,0,4
"MSTRG.31999",9,6,21,55,21,24
"MSTRG.31992",121,43,53,38,44,34
"MSTRG.31990",180,179,221,10,0,18
"MSTRG.31991",113,49,85,19,18,24
"MSTRG.35288",322,281,300,19,15,20
"MSTRG.35282",114,116,218,20,16,15
"MSTRG.35283",461,337,367,12,10,8
"MSTRG.35280",77,121,134,58,62,46
"MSTRG.35281",169,141,158,23,16,39
"MSTRG.35286",1202,930,1479,21,21,28
"MSTRG.35287",124,134,92,23,15,25
"MSTRG.35284",209,209,151,7,0,12
"MSTRG.35285",155,115,109,0,4,3
"MSTRG.21016",501,386,325,36,46,55
"MSTRG.21017",43,22,42,21,12,12
"MSTRG.21014",485,295,339,14,0,7
"MSTRG.21015",198,150,98,13,11,12
"MSTRG.21013",12,21,78,17,0,13
"MSTRG.21010",146,370,335,5,4,5
"MSTRG.21011",16,37,17,29,46,54
"MSTRG.34487",0,0,0,23,18,16
"MSTRG.37668",456,262,132,42,59,58
"MSTRG.37669",333,363,387,33,21,10
"MSTRG.34483",683,329,419,35,21,34
"MSTRG.34482",916,603,912,38,35,37
"MSTRG.34480",10,7,21,14,14,11
"MSTRG.37662",14,73,44,5,11,11
"MSTRG.37663",0,0,3,12,26,25
"MSTRG.37660",0,8,0,19,23,18
"MSTRG.37661",15,19,0,10,19,4
"MSTRG.37667",207,81,86,18,17,15
"MSTRG.37664",135,408,128,4,7,6
"MSTRG.34159",15,4,10,57,26,39
"MSTRG.6611",106,93,77,0,0,0
"MSTRG.6614",759,571,491,0,21,15
"MSTRG.28472",4,0,6,92,68,93
"MSTRG.6617",20,32,46,10,7,9
"MSTRG.37598",1039,828,864,64,67,70
"MSTRG.37599",1127,825,603,16,13,12
"MSTRG.38864",15,12,0,7,11,5
"MSTRG.37596",86,97,50,36,20,30
"MSTRG.38866",0,15,12,28,33,34
"MSTRG.38861",109,67,27,12,8,16
"MSTRG.37591",72,66,56,9,5,6
"MSTRG.38863",12,25,0,9,15,5
"MSTRG.32774",16,27,24,20,38,24
"MSTRG.47301",15,39,15,11,7,5
"MSTRG.39915",0,0,0,38,20,30
"MSTRG.40367",84,92,44,23,11,14
"MSTRG.47307",358,264,147,47,26,28
"MSTRG.32194",106,108,97,6,8,9
"MSTRG.20568",479,669,355,39,37,60
"MSTRG.9610",6,3,0,16,18,19
"MSTRG.7569",13,14,0,71,93,61
"MSTRG.7568",16,110,21,3,5,6
"MSTRG.7560",59,58,16,5,6,0
"MSTRG.7563",19,25,21,6,7,9
"MSTRG.7562",22,38,36,23,17,17
"MSTRG.7565",494,669,512,32,21,37
"MSTRG.7564",123,178,217,10,0,10
"MSTRG.23569",14,5,3,18,27,26
"MSTRG.23566",3,6,0,33,42,19
"MSTRG.27418",74,41,41,56,47,65
"MSTRG.27414",36,23,49,5,4,6
"MSTRG.27412",127,58,110,58,28,54
"MSTRG.29066",349,278,226,15,9,14
"MSTRG.46671",285,173,38,12,12,15
"MSTRG.46670",633,370,167,31,22,35
"MSTRG.46679",0,0,0,16,18,12
"MSTRG.46678",54,0,7,27,28,20
"MSTRG.31860",184,783,459,35,27,38
"MSTRG.7686",0,21,0,16,70,78
"MSTRG.31867",377,628,220,28,35,29
"MSTRG.31379",160,111,46,12,14,19
"MSTRG.648",8,0,13,21,12,9
"MSTRG.258",0,0,0,18,19,12
"MSTRG.24031",4,2,4,90,32,60
"MSTRG.24037",80,31,17,38,17,23
"MSTRG.24036",16,6,0,21,9,17
"MSTRG.24035",19,16,28,34,34,30
"MSTRG.23701",3,1,6,73,36,54
"MSTRG.24039",40,17,10,30,11,14
"MSTRG.35150",0,0,0,15,11,21
"MSTRG.252",47,80,14,0,0,8
"MSTRG.5090",19,13,19,11,13,6
"MSTRG.25920",0,0,0,19,33,18
"MSTRG.5097",0,0,5,71,69,78
"MSTRG.25928",0,0,0,27,13,39
"MSTRG.47102",331,533,444,21,17,9
"MSTRG.47105",6,15,0,16,20,12
"MSTRG.53365",13,37,0,22,8,5
"MSTRG.53361",0,0,0,31,30,13
"MSTRG.53360",0,0,37,44,56,25
"MSTRG.53369",2,0,0,20,20,16
"MSTRG.15316",2,1,2,21,16,30
"MSTRG.25074",1361,1332,1212,19,6,19
"MSTRG.25075",1115,684,703,12,13,7
"MSTRG.25076",384,260,373,2,2,3
"MSTRG.25077",120,241,263,25,27,16
"MSTRG.25070",183,193,160,60,70,53
"MSTRG.25071",661,606,1221,0,8,6
"MSTRG.25072",557,382,423,0,0,0
"MSTRG.37426",32,19,7,19,14,12
"MSTRG.21979",0,0,0,13,12,21
"MSTRG.37427",6,0,30,13,4,11
"MSTRG.21971",0,0,0,20,12,12
"MSTRG.25302",86,108,86,0,2,5
"MSTRG.21972",0,0,0,29,24,22
"MSTRG.21975",0,0,0,15,13,17
"MSTRG.21977",0,9,0,42,31,39
"MSTRG.37422",578,326,227,67,38,84
"MSTRG.52094",56,16,46,11,7,16
"MSTRG.52095",114,137,159,10,12,0
"MSTRG.52090",0,438,52,0,21,6
"MSTRG.52091",710,420,625,0,9,10
"MSTRG.52092",1093,717,910,36,46,38
"MSTRG.49627",0,0,0,34,19,34
"MSTRG.45615",0,0,0,35,25,29
"MSTRG.48224",55,73,2,42,40,40
"MSTRG.48226",9,5,7,26,17,20
"MSTRG.48229",0,0,0,17,18,17
"MSTRG.45618",0,0,0,30,13,27
"MSTRG.13927",406,627,292,47,81,82
"MSTRG.13926",417,727,880,68,86,98
"MSTRG.13923",419,346,405,7,7,14
"MSTRG.13922",32,32,22,0,0,10
"MSTRG.13921",48,37,28,12,10,18
"MSTRG.13920",296,209,189,12,21,14
"MSTRG.26521",0,0,0,21,27,33
"MSTRG.26520",10,5,8,19,22,31
"MSTRG.26527",0,0,0,13,26,17
"MSTRG.12033",42,34,33,53,38,49
"MSTRG.12031",21,18,23,4,6,6
"MSTRG.12037",1107,990,2322,0,12,16
"MSTRG.17718",77,356,20,48,54,43
"MSTRG.17719",560,345,408,14,13,12
"MSTRG.17710",188,181,164,18,22,18
"MSTRG.17711",203,150,167,6,5,10
"MSTRG.17712",92,85,37,9,9,11
"MSTRG.17713",537,322,395,71,53,78
"MSTRG.17717",149,80,101,10,12,19
"MSTRG.3073",11,2,2,37,39,33
"MSTRG.3071",16,19,6,37,16,20
"MSTRG.24802",164,89,80,6,13,10
"MSTRG.24803",21,127,80,8,11,20
"MSTRG.24800",0,0,0,12,11,12
"MSTRG.24801",26,96,368,0,3,0
"MSTRG.24806",221,178,239,25,29,49
"MSTRG.24804",168,197,147,16,16,13
"MSTRG.24805",557,451,631,96,80,51
"MSTRG.12734",1045,28,27,33,0,9
"MSTRG.45850",738,201,441,7,13,15
"MSTRG.11714",0,0,5,13,33,35
"MSTRG.1507",152,130,191,15,13,11
"MSTRG.1506",19,10,0,23,11,6
"MSTRG.1503",95,75,81,29,12,27
"MSTRG.22315",942,1712,936,24,23,39
"MSTRG.22316",435,302,304,0,19,0
"MSTRG.22317",558,274,436,21,16,13
"MSTRG.42340",0,0,0,25,30,20
"MSTRG.22318",96,119,205,6,0,8
"MSTRG.22319",98,148,210,10,10,14
"MSTRG.45855",305,192,167,15,27,13
"MSTRG.15686",0,37,0,4,33,25
"MSTRG.45857",181,150,150,27,23,17
"MSTRG.12736",18,18,4,15,4,5
"MSTRG.38483",43,112,55,13,12,15
"MSTRG.38481",113,229,131,174,174,177
"MSTRG.45371",31,39,35,10,7,7
"MSTRG.38486",0,0,0,26,27,25
"MSTRG.46998",5,15,6,18,22,41
"MSTRG.45373",35,125,108,6,8,11
"MSTRG.53852",5,21,18,20,11,12
"MSTRG.46994",4849,3250,4909,4,7,3
"MSTRG.46996",1490,1424,990,54,40,47
"MSTRG.45372",38,84,32,40,33,13
"MSTRG.46990",63,31,131,12,12,16
"MSTRG.46992",47,13,67,16,18,14
"MSTRG.46993",8,33,15,14,8,6
"MSTRG.53850",373,268,228,13,14,12
"MSTRG.9738",1171,878,768,35,22,37
"MSTRG.9739",269,234,312,23,18,24
"MSTRG.9736",36,21,0,18,20,19
"MSTRG.47984",694,696,710,13,3,12
"MSTRG.9734",255,280,106,82,68,66
"MSTRG.9735",0,0,0,19,16,21
"MSTRG.9732",11,0,6,13,11,15
"MSTRG.9733",0,0,3,12,18,24
"MSTRG.53856",23,15,25,11,8,11
"MSTRG.47986",18,21,15,3,4,4
"MSTRG.47987",620,731,460,14,7,7
"MSTRG.2852",3,11,32,11,6,8
"MSTRG.23048",12,5,16,36,27,35
"MSTRG.2856",0,0,0,16,26,24
"MSTRG.23043",1565,1393,855,23,14,22
"MSTRG.23042",756,746,323,26,23,26
"MSTRG.23041",129,83,30,17,7,9
"MSTRG.2859",65,49,57,10,7,6
"MSTRG.23047",0,13,10,17,18,10
"MSTRG.23046",2,5,0,16,18,22
"MSTRG.23045",6,52,16,19,42,9
"MSTRG.23044",9,57,69,0,16,21
"MSTRG.50791",102,57,236,114,59,111
"MSTRG.50793",244,355,330,35,40,53
"MSTRG.50792",19,47,30,0,0,5
"MSTRG.50795",34,6,141,8,20,13
"MSTRG.50797",79,91,42,11,24,36
"MSTRG.9080",655,676,512,22,18,23
"MSTRG.9081",176,178,130,20,13,18
"MSTRG.9083",1134,826,691,32,31,29
"MSTRG.9084",0,63,0,18,34,21
"MSTRG.9085",978,831,873,30,19,23
"MSTRG.9087",6,9,0,25,14,12
"MSTRG.19774",4,0,0,21,15,41
"MSTRG.43128",35,2,3,13,9,15
"MSTRG.43129",0,0,0,13,16,12
"MSTRG.43125",59,12,20,16,20,13
"MSTRG.43120",0,0,0,110,72,70
"MSTRG.45972",0,0,0,11,15,15
"MSTRG.45971",0,0,0,16,18,19
"MSTRG.45977",0,5,0,11,15,19
"MSTRG.45975",34,30,4,38,25,31
"MSTRG.45974",10,18,4,16,14,19
"MSTRG.45979",5,17,8,21,19,17
"MSTRG.51242",1529,1357,1655,21,18,28
"MSTRG.42329",108,2,139,30,18,41
"MSTRG.44609",21,0,18,17,0,8
"MSTRG.40855",45,102,72,23,20,37
"MSTRG.18290",0,0,0,40,21,30
"MSTRG.18298",0,0,0,30,31,33
"MSTRG.18299",0,0,0,13,14,27
"MSTRG.52935",0,6,0,52,43,31
"MSTRG.52933",53,55,17,34,32,23
"MSTRG.52932",3,31,0,14,28,35
"MSTRG.3815",0,0,37,20,3,15
"MSTRG.40479",57,152,61,7,14,13
"MSTRG.1086",23,17,46,16,17,21
"MSTRG.14678",0,0,0,63,39,29
"MSTRG.14679",2,3,1,28,29,28
"MSTRG.13022",46,45,17,12,7,3
"MSTRG.13023",764,1871,1519,5,0,7
"MSTRG.13020",133,98,81,6,7,15
"MSTRG.13021",20,8,6,37,18,21
"MSTRG.13026",545,296,118,32,35,47
"MSTRG.13027",558,486,257,27,40,58
"MSTRG.13024",88,90,70,11,8,11
"MSTRG.13025",948,691,687,8,20,10
"MSTRG.13028",399,509,282,26,20,21
"MSTRG.13029",161,81,95,56,31,45
"MSTRG.39601",55,72,6,12,8,5
"MSTRG.39604",35,0,3,33,24,19
"MSTRG.6361",1165,496,3,19,27,1
"MSTRG.6364",42,39,55,14,15,12
"MSTRG.6366",30,27,19,6,4,3
"MSTRG.6367",4,0,3,80,51,44
"MSTRG.6369",0,0,0,35,12,33
"MSTRG.12514",820,852,737,24,13,26
"MSTRG.40850",50,334,22,55,28,32
"MSTRG.12516",3062,3573,2361,43,28,39
"MSTRG.33385",35,67,45,0,10,5
"MSTRG.33384",19,19,18,14,11,6
"MSTRG.33387",39,251,144,16,22,11
"MSTRG.33386",73,90,47,16,11,12
"MSTRG.33381",124,1679,50,9,7,9
"MSTRG.33380",178,323,108,26,8,19
"MSTRG.44208",476,454,295,6,8,7
"MSTRG.44204",958,843,468,61,30,47
"MSTRG.33388",60,50,48,2,6,3
"MSTRG.44200",266,146,175,22,20,28
"MSTRG.44201",307,241,340,9,14,9
"MSTRG.24515",779,597,863,9,3,4
"MSTRG.25249",211,217,158,25,28,25
"MSTRG.19507",45,24,13,18,0,4
"MSTRG.19506",252,116,203,15,11,17
"MSTRG.19505",50,23,0,22,23,16
"MSTRG.19504",60,10,28,16,6,28
"MSTRG.49693",536,265,275,20,16,14
"MSTRG.19502",685,863,343,33,27,34
"MSTRG.35977",1164,716,586,44,34,37
"MSTRG.6944",0,13,0,21,14,11
"MSTRG.6946",3,3,3,92,60,65
"MSTRG.6940",158,105,308,42,50,40
"MSTRG.19509",185,239,116,13,15,13
"MSTRG.19508",31,40,28,20,20,29
"MSTRG.14486",0,7,2,14,19,21
"MSTRG.10302",119,81,107,19,13,16
"MSTRG.10303",627,598,335,51,48,42
"MSTRG.7011",3773,2678,1451,45,45,59
"MSTRG.7010",159,51,29,17,11,14
"MSTRG.7013",64,54,28,46,44,49
"MSTRG.43468",704,309,190,108,119,119
"MSTRG.43461",0,0,0,16,22,13
"MSTRG.14482",36,20,16,11,12,13
"MSTRG.43467",128,71,87,2,0,0
"MSTRG.17350",440,212,624,15,19,9
"MSTRG.17351",812,593,785,7,3,0
"MSTRG.32470",0,0,1,57,46,64
"MSTRG.32471",0,0,0,24,28,13
"MSTRG.45155",61,47,50,22,20,20
"MSTRG.45151",292,257,279,0,6,0
"MSTRG.45153",184,30,41,20,15,31
"MSTRG.13658",3072,2902,4202,3,8,5
"MSTRG.17357",14,15,11,18,13,17
"MSTRG.24512",2039,1585,1606,15,16,22
"MSTRG.17358",119,53,269,24,11,24
"MSTRG.37356",197,167,113,36,39,78
"MSTRG.24513",0,0,0,13,19,24
"MSTRG.52819",0,0,2,19,12,20
"MSTRG.13652",182,184,211,21,20,13
"MSTRG.49695",79,80,103,5,5,5
"MSTRG.34730",31,75,91,31,22,18
"MSTRG.34736",0,0,0,36,16,12
"MSTRG.36388",26,20,23,8,3,6
"MSTRG.9350",413,239,250,20,12,16
"MSTRG.4103",20,10,8,19,31,33
"MSTRG.9352",4350,2049,3211,21,11,15
"MSTRG.40512",393,394,369,32,16,25
"MSTRG.18681",13,2,3,31,28,28
"MSTRG.9355",3525,2715,1747,12,21,10
"MSTRG.18680",0,0,0,35,28,28
"MSTRG.18687",13,18,18,3,3,4
"MSTRG.4105",75,43,31,23,16,21
"MSTRG.18686",183,762,585,56,45,76
"MSTRG.40514",374,146,216,38,43,50
"MSTRG.18684",0,0,0,12,11,14
"MSTRG.34951",13,12,5,18,31,15
"MSTRG.2718",1682,1317,1163,26,21,18
"MSTRG.8226",1471,1994,1590,6,13,11
"MSTRG.859",205,179,333,27,19,13
"MSTRG.858",236,199,101,25,16,26
"MSTRG.851",505,509,559,0,0,12
"MSTRG.850",369,340,202,3,0,5
"MSTRG.853",411,326,306,11,20,16
"MSTRG.11092",428,11,925,3,3,0
"MSTRG.855",19,57,0,30,23,18
"MSTRG.854",11,0,5,32,16,38
"MSTRG.857",13,19,8,19,19,17
"MSTRG.856",18,15,11,13,12,16
"MSTRG.7946",0,0,0,47,26,24
"MSTRG.2713",0,0,0,21,22,36
"MSTRG.2712",111,38,53,16,0,15
"MSTRG.22893",72,44,41,4,7,6
"MSTRG.2714",20,26,12,13,12,8
"MSTRG.7941",29,0,0,20,22,36
"MSTRG.20578",183,95,80,19,17,16
"MSTRG.20579",1675,1381,1011,62,23,48
"MSTRG.20576",566,962,637,31,39,27
"MSTRG.20577",88,81,145,12,9,10
"MSTRG.20575",995,753,679,7,6,5
"MSTRG.20572",29,53,88,11,9,7
"MSTRG.20573",971,672,630,20,22,23
"MSTRG.20570",311,1535,768,16,8,16
"MSTRG.31817",1476,1905,1327,9,0,11
"MSTRG.31815",76,63,42,4,3,4
"MSTRG.31814",246,233,211,17,15,18
"MSTRG.9395",4,0,0,15,17,24
"MSTRG.31810",3,2,0,19,38,34
"MSTRG.31819",600,575,357,7,12,8
"MSTRG.31818",16,14,9,8,15,22
"MSTRG.35123",0,0,0,11,28,21
"MSTRG.35122",8,0,0,40,30,41
"MSTRG.45327",34,58,27,6,8,0
"MSTRG.14158",58,61,14,0,0,1
"MSTRG.37418",7,26,12,11,8,18
"MSTRG.21199",619,660,694,7,7,0
"MSTRG.21198",0,0,0,23,15,24
"MSTRG.3328",0,0,0,19,57,37
"MSTRG.21193",187,143,120,14,23,43
"MSTRG.21191",271,203,168,31,31,34
"MSTRG.5574",163,33,113,9,9,11
"MSTRG.5577",111,15,12,11,9,14
"MSTRG.42450",5,3,0,19,15,11
"MSTRG.29790",69,118,98,22,6,10
"MSTRG.19188",1,1,0,14,11,12
"MSTRG.29797",763,711,487,12,27,12
"MSTRG.29799",0,0,0,20,20,30
"MSTRG.29798",0,0,0,19,18,16
"MSTRG.21229",0,0,0,18,14,14
"MSTRG.21225",16,9,4,32,23,24
"MSTRG.21224",331,580,394,33,28,34
"MSTRG.21226",65,99,80,8,8,7
"MSTRG.21221",21,4,14,15,7,6
"MSTRG.21220",143,128,75,18,13,15
"MSTRG.21222",859,679,345,66,52,56
"MSTRG.16024",0,0,0,26,13,16
"MSTRG.16029",6,0,0,19,27,12
"MSTRG.37355",0,0,0,23,17,14
"MSTRG.11556",0,0,0,22,37,21
"MSTRG.22552",0,0,0,24,15,32
"MSTRG.44978",7,7,6,30,22,18
"MSTRG.22550",42,12,14,29,30,42
"MSTRG.22551",78,187,90,146,123,142
"MSTRG.48079",0,8,0,17,21,16
"MSTRG.6009",522,176,164,43,33,38
"MSTRG.1081",364,233,318,32,66,50
"MSTRG.6000",84,286,84,0,5,0
"MSTRG.6003",22,13,9,24,14,18
"MSTRG.6004",33,13,6,15,11,16
"MSTRG.22888",246,246,152,40,14,28
"MSTRG.22889",262,207,304,16,20,17
"MSTRG.41167",84,52,25,0,9,8
"MSTRG.22885",136,110,75,13,25,18
"MSTRG.22886",26,42,16,0,0,6
"MSTRG.22887",63,39,97,19,15,12
"MSTRG.22880",196,70,84,21,23,29
"MSTRG.22881",284,111,137,14,39,28
"MSTRG.22883",132,117,181,9,13,11
"MSTRG.48071",1280,1877,1094,11,13,28
"MSTRG.48073",305,109,111,15,18,31
"MSTRG.45084",604,543,273,96,135,144
"MSTRG.37302",115,77,81,0,5,7
"MSTRG.40268",0,0,0,13,14,14
"MSTRG.42851",1,0,1,15,20,11
"MSTRG.48076",547,353,661,22,23,16
"MSTRG.51828",107,75,74,12,11,19
"MSTRG.51829",60,39,42,11,8,6
"MSTRG.51824",26,20,42,49,36,42
"MSTRG.38296",0,0,0,17,19,19
"MSTRG.51826",0,0,0,25,12,11
"MSTRG.51827",174,186,101,31,9,22
"MSTRG.51820",50,89,94,15,15,11
"MSTRG.51821",578,726,699,34,23,36
"MSTRG.51822",426,466,400,33,20,25
"MSTRG.51823",221,132,144,34,19,19
"MSTRG.42552",0,0,0,17,13,22
"MSTRG.23681",0,6,0,21,25,16
"MSTRG.38295",0,0,0,31,32,35
"MSTRG.23686",0,0,0,19,13,17
"MSTRG.27599",218,383,331,43,61,69
"MSTRG.27598",37,29,140,14,29,26
"MSTRG.27593",102,208,73,17,32,13
"MSTRG.27592",40,83,149,20,31,25
"MSTRG.27597",1708,2963,485,14,33,11
"MSTRG.11088",163,197,165,37,57,38
"MSTRG.11082",48,28,50,0,0,19
"MSTRG.11086",231,980,727,2,0,0
"MSTRG.49302",0,0,2,13,11,22
"MSTRG.49304",276,130,122,12,12,10
"MSTRG.15701",11,0,0,21,16,12
"MSTRG.15700",44,0,0,39,43,32
"MSTRG.15705",0,0,0,34,52,26
"MSTRG.15704",5,2,4,28,34,30
"MSTRG.15707",0,0,0,22,20,20
"MSTRG.24486",465,521,274,44,28,29
"MSTRG.24487",446,362,597,22,9,21
"MSTRG.24482",299,140,182,20,19,19
"MSTRG.24480",439,373,726,11,5,11
"MSTRG.47806",55,89,93,17,11,17
"MSTRG.47809",532,485,379,27,19,40
"MSTRG.47808",690,908,428,21,25,31
"MSTRG.20907",182,224,119,4,15,4
"MSTRG.20906",50,65,88,12,14,20
"MSTRG.20903",11,11,0,32,40,28
"MSTRG.20902",918,1103,669,27,27,20
"MSTRG.20901",65,36,29,12,27,18
"MSTRG.20900",340,352,226,39,32,30
"MSTRG.20909",26,36,6,18,35,17
"MSTRG.49451",37,13,9,21,44,9
"MSTRG.50510",166,139,278,22,10,19
"MSTRG.53554",12,0,11,17,8,5
"MSTRG.10751",151,95,113,3,2,0
"MSTRG.10750",1909,1310,1302,76,98,113
"MSTRG.14074",301,384,503,28,33,27
"MSTRG.14076",1772,1322,812,93,88,53
"MSTRG.14077",270,255,177,17,20,11
"MSTRG.14078",284,229,341,9,7,8
"MSTRG.14079",1039,1083,1123,9,10,0
"MSTRG.13220",0,31,40,19,52,60
"MSTRG.13221",0,0,0,22,12,11
"MSTRG.13223",17,30,25,4,14,9
"MSTRG.13224",53,96,61,0,4,6
"MSTRG.13225",204,171,100,31,17,32
"MSTRG.13226",295,331,296,26,23,24
"MSTRG.13227",433,394,332,0,5,8
"MSTRG.13229",1844,1633,1305,10,3,0
"MSTRG.19795",1,3,4,13,19,21
"MSTRG.47375",0,0,0,19,20,20
"MSTRG.47373",94,196,87,26,24,22
"MSTRG.47372",109,201,105,15,9,19
"MSTRG.47371",483,899,620,23,13,27
"MSTRG.47370",253,415,234,22,7,13
"MSTRG.30054",0,0,0,34,32,28
"MSTRG.53534",127,140,149,2,10,0
"MSTRG.53535",132,60,47,17,8,19
"MSTRG.53530",266,305,9,20,23,0
"MSTRG.53532",577,578,237,17,20,18
"MSTRG.53533",0,11,0,5,12,12
"MSTRG.25764",123,46,135,4,6,6
"MSTRG.44774",5,6,0,33,28,36
"MSTRG.44772",18,7,24,8,5,12
"MSTRG.44770",16,21,0,20,18,12
"MSTRG.44771",65,58,60,30,21,30
"MSTRG.25394",134,122,62,12,15,23
"MSTRG.40066",756,632,786,8,10,8
"MSTRG.40067",229,240,319,11,17,7
"MSTRG.19347",70,154,93,40,27,21
"MSTRG.40065",1401,1148,1254,16,19,15
"MSTRG.19341",70,56,64,4,3,0
"MSTRG.19343",518,460,470,19,12,14
"MSTRG.19342",331,253,153,32,32,32
"MSTRG.19349",27,46,70,11,16,10
"MSTRG.40068",694,497,352,52,53,61
"MSTRG.40069",488,676,364,21,29,18
"MSTRG.25134",271,175,423,39,20,37
"MSTRG.17039",18,0,8,18,7,15
"MSTRG.2260",0,0,0,78,26,43
"MSTRG.17031",1696,1619,1714,54,33,64
"MSTRG.17033",2899,2202,1642,38,46,45
"MSTRG.17032",5019,3383,3803,27,23,34
"MSTRG.17034",3081,2521,1939,54,69,64
"MSTRG.17037",182,62,83,13,21,16
"MSTRG.17036",13008,6950,5268,142,140,129
"MSTRG.32679",0,0,0,31,27,19
"MSTRG.16344",99,72,75,42,20,68
"MSTRG.51162",244,184,161,19,15,28
"MSTRG.14570",0,15,0,12,17,7
"MSTRG.52668",241,163,428,40,40,41
"MSTRG.22350",0,0,0,15,21,13
"MSTRG.46939",0,0,0,19,19,20
"MSTRG.52660",6,14,31,12,11,9
"MSTRG.52667",31,22,88,39,15,27
"MSTRG.17687",1209,828,628,43,22,19
"MSTRG.635",88,81,65,31,31,37
"MSTRG.8419",0,0,0,30,17,13
"MSTRG.52851",1,0,0,15,14,16
"MSTRG.45425",66,538,332,4,13,13
"MSTRG.639",24,11,2,14,11,8
"MSTRG.45427",143,86,75,33,41,37
"MSTRG.45426",87,63,37,19,19,19
"MSTRG.45420",96,65,79,19,24,20
"MSTRG.45423",15,13,16,24,25,36
"MSTRG.4957",8,113,97,7,10,13
"MSTRG.45428",384,360,311,29,23,20
"MSTRG.41337",81,59,58,0,19,10
"MSTRG.19946",122,141,103,60,51,46
"MSTRG.41338",26,25,6,12,16,9
"MSTRG.30712",0,0,0,24,11,11
"MSTRG.19942",1524,1144,988,10,6,11
"MSTRG.1528",370,287,316,13,12,12
"MSTRG.10117",352,253,267,36,53,40
"MSTRG.18127",41,27,9,54,34,27
"MSTRG.18124",11,72,0,49,41,19
"MSTRG.51369",0,3,0,13,16,20
"MSTRG.23882",0,0,0,18,23,14
"MSTRG.51367",67,143,62,12,8,9
"MSTRG.51366",254,466,411,22,25,32
"MSTRG.51364",368,241,342,13,20,14
"MSTRG.51363",43,56,13,0,0,0
"MSTRG.51362",23,18,39,9,10,10
"MSTRG.51361",84,88,74,11,10,0
"MSTRG.51360",4267,2759,4987,105,24,85
"MSTRG.3609",0,0,0,16,27,19
"MSTRG.8658",17,4,3,14,5,15
"MSTRG.8659",187,44,47,57,22,74
"MSTRG.8656",61,83,67,0,0,4
"MSTRG.8657",3295,3238,2669,45,35,47
"MSTRG.8655",132,126,95,5,19,23
"MSTRG.8651",884,730,596,7,5,8
"MSTRG.4378",146,80,45,18,14,11
"MSTRG.27215",0,0,38,14,16,12
"MSTRG.4371",262,187,66,36,40,38
"MSTRG.4370",11,5,0,7,14,15
"MSTRG.19243",1640,1151,624,38,32,56
"MSTRG.4375",0,0,0,16,15,20
"MSTRG.4374",1,0,1,24,13,17
"MSTRG.52400",414,341,228,35,49,48
"MSTRG.27210",1154,1028,432,57,40,60
"MSTRG.27211",5092,2723,2503,146,101,124
"MSTRG.48467",18,0,7,28,28,23
"MSTRG.4711",67,1325,1004,14,13,6
"MSTRG.46819",2411,2105,1650,24,12,25
"MSTRG.46818",205,125,88,20,28,28
"MSTRG.43869",57,21,18,55,59,44
"MSTRG.43868",81,62,23,16,15,15
"MSTRG.43867",2598,2077,1593,58,24,56
"MSTRG.43866",144,155,91,14,13,0
