"","X1041.gtf","X1471.gtf","X1637.gtf","Sample1.gtf","Sample2.gtf","Sample3.gtf"
"STRG.1531",749,654,549,543,758,644
"Pocillopora_acuta_HIv1_PredGene_g4828.t1",0,4,0,12,24,34
"STRG.7492",146,141,132,29,38,59
"STRG.1026",733,604,502,778,773,791
"Pocillopora_acuta_HIv1_PredGene_g15280.t1",0,0,2,12,16,18
"STRG.7611",46,80,79,72,122,95
"STRG.16850",1854,1731,1549,2230,2269,2721
"STRG.4484",48,45,30,11,9,8
"STRG.4482",60,52,78,67,77,126
"STRG.4489",1415,1308,977,1012,1374,1166
"STRG.5681",102,90,70,124,113,114
"STRG.20349",540,387,367,117,135,153
"STRG.20344",194,102,204,41,34,32
"STRG.20342",1833,2222,2236,713,896,1003
"STRG.5537",3,0,6,89,86,130
"STRG.3588",670,544,580,160,136,137
"STRG.8106",492,187,232,63,37,74
"STRG.17818",15272,14620,13736,3691,5774,6098
"STRG.10844",347,154,258,75,55,71
"STRG.17815",112,116,102,17,45,32
"STRG.17814",3325,2912,2841,1245,811,1204
"STRG.20168",158,156,151,40,39,40
"STRG.7598",340,315,338,248,451,424
"STRG.3688",594,426,453,211,211,215
"STRG.3686",1462,1686,1175,1352,2099,1808
"STRG.3687",346,206,211,256,247,288
"STRG.3680",29,12,40,30,64,62
"STRG.16795",234,149,111,41,50,29
"STRG.16037",107,81,107,230,318,316
"STRG.16033",210,174,184,142,218,253
"STRG.16038",1371,1159,1068,1122,2296,1768
"STRG.17570",121,100,98,24,22,39
"STRG.23069",3132,3079,2740,711,719,907
"STRG.23063",774,813,547,242,305,253
"STRG.13120",1796,994,1874,451,211,599
"STRG.2220",74,120,59,16,30,11
"STRG.22086",96,96,116,9,8,6
"STRG.22087",331,391,237,296,340,351
"STRG.22081",240,166,163,18,11,18
"STRG.5940",902,720,655,1017,1065,1019
"STRG.5942",295,418,362,477,699,598
"STRG.2989",41,23,17,97,44,79
"STRG.13785",208,278,236,36,78,72
"STRG.10472",942,1065,996,1367,3197,2942
"STRG.10479",969,985,815,129,141,130
"STRG.21577",375,322,372,33,37,79
"STRG.11788",227,162,219,67,98,76
"STRG.20623",1215,844,1026,331,548,503
"STRG.3307",29,0,5,165,20,11
"STRG.24015",2927,2090,2234,1050,862,1248
"STRG.24014",16,21,27,36,69,55
"STRG.24013",84,41,50,99,71,95
"STRG.24018",40,43,26,40,114,55
"STRG.1617",15153,15732,13263,1396,1618,1527
"STRG.15859",87,93,111,33,14,20
"STRG.23549",16,30,19,36,68,43
"STRG.23545",88,48,34,10,11,15
"STRG.15569",13,12,17,37,61,63
"STRG.15361",116,76,94,31,17,24
"STRG.8586",67,51,44,71,54,81
"STRG.15365",345,326,293,263,443,437
"STRG.34",336,329,200,247,337,300
"STRG.32",18542,12483,15897,18378,35240,31110
"STRG.33",332,373,206,535,506,421
"STRG.8589",29,11,18,37,39,55
"STRG.12256",2112,1695,1652,459,429,501
"STRG.12254",225,199,208,47,93,94
"STRG.19349",2674,3045,2534,96,72,108
"STRG.19347",260,326,242,88,115,95
"STRG.19346",1723,1386,1422,489,406,480
"STRG.21779",523,770,602,791,1062,1094
"STRG.21771",168,281,194,242,364,270
"STRG.21775",452,353,382,479,569,517
"STRG.21774",1,0,2,11,19,18
"STRG.755",16,29,26,52,93,89
"STRG.4644",684,522,503,539,505,578
"STRG.17998",98,93,100,18,30,16
"STRG.17999",535,432,514,194,164,237
"STRG.17992",407,321,305,152,139,151
"STRG.11236",68,98,66,186,210,241
"STRG.6237",361,267,234,92,102,111
"STRG.6234",94,95,89,107,114,151
"STRG.6238",563,446,372,200,190,186
"STRG.11901",82,87,70,77,89,95
"STRG.11904",185,109,131,42,54,58
"STRG.11908",69,84,56,109,181,143
"STRG.15266",62,46,57,73,61,80
"STRG.23385",688,491,1015,1325,1013,2679
"STRG.23386",1132,1999,1194,1077,3122,1776
"STRG.23387",169,198,166,48,60,69
"STRG.3345",50,46,54,64,56,66
"STRG.3348",103,117,67,99,133,111
"STRG.1275",272,153,199,51,73,52
"STRG.18577",283,251,208,99,77,95
"STRG.22163",95,120,70,208,136,149
"STRG.22165",1679,951,899,2078,1481,1491
"STRG.22169",275,337,244,302,389,327
"STRG.19622",114,103,108,20,26,29
"STRG.19627",162,188,115,43,55,70
"STRG.7323",430,391,349,129,90,124
"STRG.8515",195,226,156,211,234,178
"STRG.10625",3,14,3,227,332,264
"STRG.10624",7,24,10,621,831,666
"STRG.10627",13,16,6,748,517,523
"STRG.10626",11,8,7,461,570,518
"STRG.10621",45,64,20,397,382,422
"STRG.10620",41,67,39,435,415,385
"STRG.10623",26,25,0,482,790,625
"STRG.10622",52,79,19,1041,921,931
"STRG.10628",39,31,21,1279,1270,1378
"STRG.24179",135,165,122,178,275,148
"STRG.11578",875,932,874,673,949,873
"Pocillopora_acuta_HIv1_PredGene_g24402.t1",0,0,0,69,101,137
"STRG.11626",991,932,1064,1299,1704,1983
"STRG.5014",2146,1889,1556,608,626,608
"STRG.14958",686,549,882,575,896,1204
"STRG.4762",33,14,28,35,62,63
"STRG.4768",730,640,556,468,728,604
"STRG.4769",319,254,202,238,307,273
"STRG.9228",175,231,185,48,65,48
"STRG.9220",456,419,311,297,427,399
"STRG.9223",850,571,620,722,607,800
"STRG.14336",117,199,108,154,186,208
"STRG.14335",69,29,52,49,113,145
"STRG.14332",178,346,238,272,596,436
"STRG.14330",46,117,71,8,17,15
"STRG.23700",11,10,21,24,39,36
"STRG.9373",362,308,239,402,594,619
"STRG.5450",218,217,141,153,309,219
"STRG.15064",553,414,414,62,68,93
"STRG.15061",740,705,560,777,913,1108
"STRG.15062",7,9,13,85,105,127
"STRG.15069",285,318,267,100,135,103
"STRG.12595",446,404,440,344,484,524
"STRG.12597",4,0,6,14,14,18
"STRG.12596",226,258,215,68,114,62
"STRG.15165",1485,1567,1322,459,711,687
"STRG.18779",72,64,40,78,111,74
"STRG.1074",209,158,112,30,53,31
"Pocillopora_acuta_HIv1_PredGene_4289_t",0,0,0,56,35,33
"STRG.12040",176,277,145,54,57,43
"STRG.22367",158,131,159,35,58,38
"STRG.22369",258,256,164,78,72,79
"Pocillopora_acuta_HIv1_PredGene_g11582.t1",0,0,0,17,48,29
"STRG.16744",121,130,83,304,313,246
"STRG.16746",100,168,116,346,447,318
"STRG.16740",5696,5531,4499,5365,5796,5647
"STRG.16741",552,401,377,872,901,761
"STRG.6",80,147,83,17,12,14
"STRG.15807",140,326,216,71,24,38
"STRG.15800",337,216,321,287,297,377
"STRG.6860",883,1033,1026,302,416,391
"STRG.21105",349,321,264,482,688,537
"STRG.21107",1189,1087,832,1231,1430,1435
"STRG.10359",1408,1871,1317,1123,2067,1757
"STRG.10358",822,1114,840,943,2318,1806
"STRG.20854",1835,1766,1428,2228,2420,2298
"STRG.20856",86,235,128,37,52,24
"STRG.20853",422,228,255,120,95,85
"STRG.3567",273,93,203,444,260,252
"STRG.3566",514,168,222,905,462,453
"STRG.3560",1253,1458,1217,1142,1529,1230
"STRG.3562",138,95,66,19,20,14
"STRG.279",179,62,112,135,207,202
"STRG.278",614,378,367,185,131,166
"STRG.271",295,261,307,76,128,105
"STRG.10975",37,43,41,70,110,114
"Pocillopora_acuta_HIv1_PredGene_g30562.t1",0,0,0,18,22,15
"STRG.20279",93,111,136,31,19,26
"STRG.11008",200,174,171,45,62,82
"STRG.8523",50,98,54,12,15,8
"STRG.8529",1029,1159,1093,985,1825,1597
"Pocillopora_acuta_HIv1_PredGene_6752_t",0,0,0,149,101,127
"STRG.23772",3840,4003,3317,3074,3713,3583
"STRG.16292",421,529,426,98,168,184
"STRG.6006",349,370,303,119,154,161
"STRG.23198",138,161,128,27,17,14
"STRG.23196",317,294,209,75,130,95
"STRG.22822",7620,7599,7210,968,1310,1294
"STRG.19623",81,65,72,25,19,24
"STRG.21844",1189,1339,1150,1585,2303,2351
"STRG.21842",932,247,919,1452,1952,1915
"STRG.13093",129,108,135,23,26,31
"STRG.13091",298,312,278,65,93,122
"STRG.13097",179,318,229,206,430,345
"STRG.13095",254,413,325,471,1815,1313
"STRG.13546",270,195,284,54,81,92
"STRG.13548",15174,18684,21123,18151,28493,33676
"Pocillopora_acuta_HIv1_PredGene_193_t",0,0,0,48,140,79
"STRG.9603",15,35,14,29,83,51
"STRG.10013",146,160,151,58,63,52
"STRG.10015",310,412,304,409,597,565
"STRG.21837",32,22,27,85,109,101
"STRG.3983",1940,1531,1367,605,813,744
"STRG.15792",855,502,544,544,741,677
"STRG.8930",167,187,188,194,216,186
"STRG.15797",250,170,191,174,373,390
"STRG.9586",319,595,335,95,113,149
"STRG.9055",261,171,180,236,212,296
"STRG.9054",717,688,697,795,1222,1137
"Pocillopora_acuta_HIv1_PredGene_g130.t1",0,0,0,67,37,21
"STRG.17895",2172,1642,1666,2430,1854,2272
"STRG.17892",326,334,293,327,474,526
"STRG.17891",418,182,232,103,49,84
"STRG.14023",11,10,4,42,53,59
"STRG.4881",1128,1303,818,1386,1321,1380
"STRG.4268",247,195,228,46,52,41
"STRG.4262",356,364,351,326,539,394
"STRG.4260",310,103,113,45,20,15
"STRG.4267",505,404,329,587,1012,843
"STRG.4266",149,113,79,130,124,122
"STRG.14270",438,343,411,475,608,716
"STRG.8729",253,163,187,61,84,71
"STRG.15639",37,5,7,55,44,89
"STRG.12944",191,225,160,166,366,197
"STRG.12942",664,796,640,716,1580,1126
"Pocillopora_acuta_HIv1_PredGene_g7284.t1",0,0,0,17,11,11
"STRG.16420",436,379,426,104,142,173
"STRG.6645",110,108,69,7,26,15
"STRG.6642",28,32,31,0,0,0
"STRG.6641",395,322,360,403,605,586
"STRG.2556",6,7,13,19,23,21
"STRG.2554",381,394,296,61,73,76
"STRG.2550",501,536,539,183,200,202
"STRG.13410",1784,1441,1418,1747,2728,2577
"STRG.2559",489,422,476,163,163,170
"STRG.8898",102,118,82,95,151,127
"STRG.8895",316,352,328,562,769,798
"STRG.17706",340,390,427,91,90,174
"STRG.17702",212,98,139,40,26,17
"STRG.18109",40,33,47,51,66,55
"STRG.18100",66,42,46,56,112,73
"STRG.18106",428,654,397,57,79,51
"STRG.846",708,664,555,468,913,668
"STRG.844",218,272,258,234,343,381
"STRG.849",244,103,211,239,225,255
"STRG.19852",175,130,142,109,235,204
"STRG.595",550,514,475,438,512,522
"STRG.596",248,200,241,70,83,67
"STRG.597",20,16,13,124,98,97
"STRG.592",148,100,88,18,27,37
"STRG.13701",36,51,53,89,156,108
"STRG.13700",316,257,339,274,336,286
"STRG.13706",9,15,17,28,28,43
"STRG.13705",192,225,205,21,46,67
"STRG.19279",2783,2324,2270,839,1015,1063
"STRG.19271",544,345,392,99,167,131
"STRG.19272",1565,1394,1316,1168,1797,1766
"STRG.330",309,266,257,54,27,49
"STRG.331",369,257,297,301,373,328
"STRG.334",377,386,294,80,89,128
"STRG.21319",53,23,83,57,118,132
"STRG.21318",171,132,162,44,63,66
"STRG.21317",99,85,77,27,26,23
"STRG.20683",71,69,57,0,11,9
"STRG.17487",121,86,59,26,24,25
"STRG.7259",812,1045,1011,103,178,268
"STRG.7258",145,191,249,35,44,45
"STRG.7252",2281,2071,2061,392,303,344
"STRG.1742",2151,2257,1817,1997,3850,3270
"STRG.24094",351,647,434,636,1321,1080
"STRG.24097",65,28,23,105,115,36
"STRG.24091",6,12,0,38,44,18
"STRG.24090",23,15,0,50,83,42
"STRG.24093",47,142,108,101,258,165
"STRG.19931",402,278,314,142,97,112
"STRG.2092",191,152,129,47,26,24
"Pocillopora_acuta_HIv1_PredGene_g8391.t1",0,0,0,37,29,12
"STRG.19684",1585,1583,1286,2182,2958,2921
"Pocillopora_acuta_HIv1_PredGene_g7870.t1",0,5,4,12,23,11
"STRG.20796",302,198,169,210,262,352
"STRG.4871",68,41,32,47,101,107
"STRG.4874",463,291,438,161,127,105
"STRG.9939",479,371,374,351,447,426
"STRG.9935",60,57,81,71,72,125
"STRG.5475",115,105,79,122,168,174
"STRG.5474",141,142,100,225,221,186
"STRG.5477",79,64,43,12,13,16
"STRG.5472",155,105,213,26,18,14
"STRG.5479",437,372,408,462,380,528
"STRG.2848",75,104,81,27,28,22
"STRG.2847",175,218,204,30,71,71
"STRG.17910",62,26,39,8,6,5
"STRG.17917",85,116,106,32,31,31
"STRG.17919",12,10,13,18,22,31
"STRG.10681",278,249,210,196,248,258
"STRG.14755",52,49,21,425,324,484
"STRG.14750",739,792,632,848,1100,1053
"STRG.7725",76,51,50,61,182,128
"STRG.3037",13,6,5,24,20,20
"STRG.3031",89,105,79,86,142,172
"STRG.3039",199,201,146,145,315,311
"STRG.11982",1995,2807,2756,4534,7037,6812
"STRG.15409",551,376,413,155,146,203
"STRG.16665",192,66,91,249,234,258
"STRG.16664",36,30,28,4,7,8
"STRG.16660",49,61,62,73,69,94
"STRG.12758",165,341,117,19,40,32
"STRG.12757",768,732,438,184,205,165
"STRG.12754",133,66,133,19,22,35
"STRG.12751",95,75,82,21,15,9
"STRG.3354",259,207,184,70,82,101
"STRG.3872",270,367,227,83,114,64
"STRG.20139",300,211,251,93,80,72
"STRG.2079",156,103,74,215,545,272
"STRG.2074",207,193,77,129,439,255
"STRG.20133",1704,1648,1528,1270,1830,1602
"STRG.3359",32,38,32,122,351,114
"STRG.20136",161,280,96,17,40,44
"STRG.1964",487,338,396,120,96,159
"STRG.23872",75,34,67,9,17,12
"STRG.23873",193,189,121,146,297,214
"STRG.23870",55,56,28,8,0,0
"STRG.1184",96,98,101,26,20,32
"STRG.18543",379,448,276,67,160,82
"STRG.2981",232,168,206,219,277,280
"STRG.3857",56,41,32,37,70,70
"STRG.3850",267,220,212,260,301,409
"STRG.3852",259,134,157,282,733,488
"STRG.3859",112,106,122,106,233,157
"STRG.20740",339,447,309,52,118,81
"STRG.20745",113,50,87,11,10,6
"STRG.24112",37,127,65,12,11,9
"STRG.23467",137,80,156,144,185,185
"STRG.23466",122,192,154,13,20,36
"Pocillopora_acuta_HIv1_PredGene_g9094.t1",0,6,0,12,101,11
"STRG.5580",281,271,272,82,94,122
"STRG.5585",816,611,466,254,225,159
"STRG.12519",13,14,17,0,0,0
"STRG.12515",72,48,56,9,6,8
"STRG.12516",1206,1391,1052,313,453,411
"STRG.15162",353,393,375,388,425,487
"STRG.8740",81,100,54,151,481,296
"STRG.15164",510,396,378,476,1009,975
"STRG.14824",249,198,131,280,228,181
"STRG.6722",5,0,0,14,22,17
"STRG.19422",388,302,391,354,381,323
"STRG.19423",235,290,213,197,353,308
"STRG.17039",22,19,37,46,34,56
"STRG.17038",462,314,408,160,140,163
"Pocillopora_acuta_HIv1_PredGene_g24176.t1",0,2,3,14,20,15
"STRG.21181",539,215,238,52,26,56
"STRG.21184",725,913,830,1012,1873,1771
"STRG.21188",1760,1640,1594,1424,1355,1588
"STRG.145",762,703,643,711,1380,1107
"STRG.141",340,371,471,50,42,49
"STRG.9740",45,49,46,3,2,3
"STRG.9745",80,84,83,15,5,18
"STRG.20589",109,122,103,21,24,23
"STRG.20582",1517,1553,1362,1304,1682,1778
"STRG.20580",622,339,366,120,103,120
"STRG.2654",428,377,383,152,126,191
"STRG.2655",13456,18445,11904,2005,2061,2120
"STRG.2651",1250,1025,1080,270,334,352
"STRG.2653",272,278,285,91,147,108
"STRG.7024",13,7,14,23,27,23
"STRG.7021",380,134,135,582,209,295
"STRG.7022",124,91,79,141,232,152
"STRG.6376",12,6,8,19,27,27
"STRG.15305",186,80,132,40,32,44
"STRG.15306",1265,1235,934,1082,1214,1306
"STRG.15309",671,764,503,242,192,207
"STRG.7685",8677,9347,8368,2896,1954,2700
"STRG.7687",473,471,372,160,203,161
"STRG.7689",677,481,563,360,809,897
"STRG.23117",509,439,382,353,545,465
"STRG.1686",379,329,253,341,572,481
"STRG.1687",340,316,338,86,123,101
"STRG.1681",266,184,207,46,62,48
"STRG.965",1261,1242,1127,499,615,620
"STRG.966",531,447,425,414,931,687
"STRG.960",1379,303,1214,1586,1566,1961
"STRG.7972",212,208,195,212,335,356
"STRG.7970",1401,1047,988,417,368,369
"STRG.7971",15,4,4,31,64,47
"STRG.16145",269,304,266,90,105,121
"STRG.3262",4172,4561,3842,330,434,394
"STRG.3260",4480,3953,4497,1501,1129,1690
"STRG.12653",230,240,231,67,43,48
"STRG.6086",433,484,392,179,179,194
"STRG.12654",212,89,212,34,21,29
"STRG.1538",132,33,55,135,106,98
"STRG.1539",296,309,160,228,562,300
"STRG.13017",336,295,357,107,125,129
"STRG.17276",582,311,387,492,626,581
"STRG.2138",156,100,92,108,161,136
"STRG.17274",674,539,537,197,171,177
"STRG.2130",440,288,376,82,54,78
"STRG.2132",13,15,13,19,25,31
"STRG.2135",147,75,130,36,11,26
"STRG.2134",263,96,254,59,46,73
"STRG.19749",263,244,222,87,115,120
"STRG.19740",588,766,584,282,250,280
"STRG.19745",191,190,212,36,55,101
"STRG.19747",390,395,397,306,481,511
"STRG.19746",961,692,708,349,343,359
"STRG.1352",847,674,743,286,262,421
"STRG.5399",154,227,154,39,66,48
"STRG.10098",468,279,276,329,439,444
"STRG.429",130,177,87,37,27,39
"STRG.421",358,285,297,302,317,387
"STRG.422",501,544,481,381,597,593
"STRG.16892",837,532,569,763,1157,983
"STRG.5396",674,624,632,486,773,892
"STRG.11327",126,145,98,23,26,30
"STRG.3490",280,206,221,433,341,314
"STRG.4445",782,537,479,750,570,693
"STRG.9506",850,714,569,678,1204,877
"STRG.4154",850,706,670,847,932,1129
"STRG.4156",231,211,186,77,78,67
"STRG.4151",604,633,622,775,963,1031
"STRG.10807",658,1064,699,1661,2557,2405
"STRG.15149",129,177,176,282,371,377
"STRG.15148",137,108,133,45,44,45
"STRG.15143",231,225,333,70,93,125
"STRG.15141",2001,2238,2190,622,458,596
"STRG.17787",20,32,23,45,105,70
"STRG.17785",210,179,104,54,60,59
"STRG.17783",99,59,80,27,18,21
"STRG.16537",849,856,655,690,1009,856
"STRG.12499",422,291,327,65,115,146
"STRG.12490",289,172,188,219,437,336
"STRG.12491",2521,2043,2797,3804,5881,7064
"STRG.12493",20,21,26,41,65,57
"STRG.12494",2346,2264,2098,2736,4924,4312
"STRG.12495",6,3,10,18,18,19
"STRG.1339",1089,1113,890,363,394,399
"STRG.18185",18,9,9,25,33,35
"STRG.22552",124,104,94,145,325,253
"STRG.19588",4165,3602,3003,1231,1458,1502
"STRG.19582",627,519,503,454,481,498
"Pocillopora_acuta_HIv1_PredGene_g16655.t1",0,0,0,28,34,11
"STRG.5366",73,77,75,98,114,78
"STRG.5369",2473,2605,2358,348,257,382
"STRG.17207",318,417,353,412,578,516
"STRG.10256",1024,944,835,852,1387,962
"STRG.17209",182,104,113,184,319,231
"STRG.20959",243,266,231,64,86,77
"STRG.21391",720,834,562,730,954,870
"STRG.21390",1550,1282,987,1505,1549,1534
"STRG.21392",428,273,246,360,964,733
"STRG.21399",397,255,193,275,357,380
"STRG.21398",270,359,345,108,91,89
"STRG.3400",15,28,37,46,67,79
"STRG.15940",2080,2199,1607,2315,3113,2846
"STRG.11123",270,316,317,54,88,67
"STRG.11124",321,245,227,93,131,116
"STRG.20048",276,212,242,315,273,334
"STRG.23630",27,23,33,57,52,80
"STRG.23632",248,223,204,52,44,59
"STRG.23636",59,61,92,12,10,14
"STRG.6127",28,65,47,45,139,79
"STRG.6121",182,174,175,66,73,70
"STRG.23098",2370,2247,1864,3951,4946,4990
"STRG.23092",242,108,233,227,292,269
"Pocillopora_acuta_HIv1_PredGene_g27299.t1",0,0,0,104,105,154
"STRG.22941",395,287,235,705,796,757
"STRG.5917",80,114,41,113,114,111
"STRG.1473",286,406,347,335,532,526
"STRG.17320",1019,538,866,280,228,288
"Pocillopora_acuta_HIv1_PredGene_g16843.t1",0,20,29,53,81,68
"STRG.13197",33,36,30,0,0,7
"STRG.13195",1338,1199,1160,570,602,646
"STRG.13199",130,162,147,36,50,55
"Pocillopora_acuta_HIv1_PredGene_g22278.t1",0,0,0,26,16,15
"STRG.10758",152,107,129,41,54,52
"STRG.10755",117,153,145,191,282,189
"STRG.10757",342,344,342,105,114,164
"STRG.10425",604,414,524,207,186,230
"STRG.5164",1234,1101,879,949,1094,1119
"STRG.5160",810,570,849,226,293,390
"STRG.18157",1346,1197,1167,1491,2344,2028
"STRG.4696",91,124,96,113,203,129
"STRG.4692",160,167,175,26,43,39
"STRG.4690",173,232,185,38,69,61
"STRG.4345",49,135,86,502,672,605
"STRG.4346",64,70,49,247,285,341
"STRG.4340",164,127,118,41,45,64
"STRG.4342",1028,1042,833,849,849,941
"STRG.4343",161,131,93,47,43,36
"STRG.10891",260,212,235,654,535,559
"STRG.21582",1098,1103,860,1129,1402,1303
"STRG.12989",16,46,21,42,96,79
"STRG.8447",223,121,112,234,248,249
"STRG.8445",350,310,277,351,581,555
"STRG.16378",584,481,485,215,231,238
"STRG.16373",29,27,18,48,40,41
"STRG.8999",1490,1475,1561,1830,2461,2480
"STRG.8996",815,690,744,239,171,204
"STRG.8993",241,240,252,226,434,300
"STRG.12289",1370,1063,1118,244,70,123
"STRG.6458",99,169,109,23,55,28
"STRG.12284",152,182,156,37,60,52
"STRG.17422",427,400,413,114,192,193
"STRG.2344",139,113,118,198,177,281
"STRG.17429",116,62,110,35,14,22
"STRG.2343",17,14,12,35,28,60
"STRG.15483",704,538,545,219,288,250
"STRG.15481",345,406,312,22,18,23
"STRG.12137",343,430,349,101,113,138
"STRG.1103",165,105,142,121,239,160
"STRG.1102",208,154,180,60,85,75
"STRG.1104",48,44,49,37,82,78
"STRG.14990",39,124,62,4,0,8
"STRG.19951",74,62,103,21,16,18
"STRG.18390",272,278,189,66,110,86
"STRG.18392",719,1154,747,968,1444,1143
"STRG.18398",1553,834,1032,1341,1009,1258
"STRG.22293",372,394,307,151,124,144
"STRG.13420",259,229,212,220,296,245
"STRG.21922",651,554,847,150,101,160
"STRG.22742",191,216,212,73,95,85
"STRG.22741",47,41,66,0,0,4
"STRG.22740",135,140,118,41,24,33
"STRG.11775",61,87,37,15,11,12
"STRG.11776",486,444,328,164,107,121
"STRG.10190",331,224,277,91,97,123
"STRG.21214",170,204,181,29,39,62
"STRG.21212",342,479,406,84,129,73
"STRG.5096",4738,6396,5123,470,370,520
"STRG.7195",547,379,442,315,518,569
"STRG.7198",697,762,660,250,366,355
"STRG.1936",211,246,132,28,50,46
"STRG.7447",45,65,54,98,120,124
"STRG.7448",443,411,450,467,1400,944
"STRG.7449",6708,6707,5650,1306,1418,1622
"STRG.18169",1593,1540,1457,1253,1751,1573
"STRG.6712",6,25,10,28,45,42
"STRG.6714",44,50,39,10,9,10
"STRG.19895",424,510,313,377,598,418
"STRG.1426",176,140,117,169,156,153
"STRG.9151",118,130,111,188,147,226
"STRG.7755",1433,1831,1185,2314,5803,3705
"STRG.20507",141,148,134,21,29,25
"STRG.20506",49,51,41,91,155,125
"STRG.20505",479,436,386,83,80,89
"STRG.20503",1367,1022,1165,879,1538,1533
"STRG.9297",387,342,313,293,470,424
"STRG.5733",192,193,171,47,52,35
"STRG.5738",184,157,134,33,32,35
"STRG.2966",38,28,26,0,0,0
"STRG.2961",23,18,10,23,29,44
"STRG.9128",535,569,258,73,124,77
"STRG.14387",229,174,177,161,257,231
"STRG.14382",374,262,346,573,1239,1133
"STRG.14383",1050,1124,936,338,282,337
"STRG.14381",1260,1009,874,367,350,451
"STRG.14388",2168,2249,2164,188,110,172
"STRG.4061",558,512,398,169,172,182
"STRG.4060",94,120,217,26,20,60
"STRG.4066",34,28,31,30,46,53
"STRG.15388",987,919,975,381,244,423
"STRG.15387",225,173,158,212,189,186
"STRG.15386",275,217,155,61,102,78
"STRG.15380",56,94,110,121,278,316
"STRG.15382",65,64,54,108,130,114
"STRG.7608",425,330,353,135,101,136
"STRG.7600",4124,3382,4385,1267,1568,2010
"STRG.7601",838,1090,994,167,358,354
"STRG.7606",376,402,337,311,329,416
"STRG.7607",119,101,91,34,23,37
"STRG.3773",207,133,159,236,186,193
"STRG.14651",59,129,80,123,249,169
"STRG.14655",32,48,46,42,98,93
"STRG.14656",146,124,121,138,263,151
"STRG.18928",312,148,296,441,295,636
"STRG.17674",148,60,78,113,173,155
"STRG.10541",59,68,55,7,11,11
"STRG.10544",170,54,127,5,8,10
"STRG.10545",216,155,178,68,69,73
"STRG.10546",2,1,3,1278,3843,2328
"STRG.18218",2633,2660,2237,1836,3635,3132
"STRG.18219",449,381,363,138,150,172
"STRG.18217",332,162,227,252,295,280
"STRG.18211",51,134,124,132,247,223
"STRG.22469",82,81,102,22,19,21
"STRG.22466",74,69,89,88,98,111
"STRG.22467",21,26,23,4,2,4
"STRG.22465",1119,710,658,248,369,360
"STRG.18706",522,534,525,138,248,260
"STRG.1064",76,39,52,6,21,10
"STRG.11630",584,339,385,475,759,740
"STRG.11637",670,464,500,559,545,535
"STRG.11639",666,418,383,178,201,241
"STRG.8601",4832,6341,4771,517,455,583
"STRG.8602",44,55,58,17,6,9
"STRG.3721",142,131,109,145,300,275
"STRG.23789",89,118,128,29,30,48
"STRG.23786",254,151,175,55,64,76
"STRG.23780",242,115,173,60,34,54
"STRG.23256",1187,720,931,327,330,448
"STRG.18837",584,840,833,134,286,276
"STRG.9038",861,1059,806,827,1158,1023
"STRG.12415",249,93,239,175,300,396
"STRG.19508",97,169,104,153,292,205
"STRG.21067",382,444,276,380,733,588
"STRG.21060",569,286,307,621,1464,1137
"STRG.21069",984,660,936,304,225,277
"Pocillopora_acuta_HIv1_PredGene_g30709.t1",0,0,0,15,38,31
"STRG.16888",250,211,247,63,72,117
"STRG.4458",300,213,181,196,241,258
"STRG.3489",4,0,0,18,19,27
"STRG.4456",514,367,462,171,207,156
"STRG.17822",147,171,104,40,51,42
"STRG.10833",117,205,118,161,231,158
"STRG.10838",563,458,414,212,217,184
"STRG.20331",81,95,63,72,192,104
"STRG.6875",37,7,25,71,23,60
"STRG.8177",126,89,92,111,133,143
"STRG.8176",1611,1426,1512,1861,1578,1914
"STRG.8175",1242,934,1013,473,517,564
"STRG.8173",280,248,243,78,56,46
"STRG.8171",367,422,415,317,458,414
"STRG.8170",512,554,425,451,769,734
"STRG.17628",1059,831,726,200,149,203
"STRG.8289",1427,1508,1147,1059,1977,1469
"STRG.8285",270,474,285,88,133,141
"STRG.8281",251,190,152,261,401,339
"STRG.8280",291,242,243,86,89,89
"STRG.11873",14442,11986,9400,44849,34864,35058
"STRG.11872",31,21,18,155,84,111
"STRG.11871",10291,12323,9766,1693,2112,2262
"STRG.11870",354,261,232,95,80,97
"STRG.2180",34,26,28,62,51,69
"STRG.2182",108,42,94,17,8,24
"STRG.17624",183,150,172,55,62,62
"STRG.23014",109,125,117,197,367,267
"STRG.23016",278,206,143,191,266,262
"STRG.8829",66,36,27,108,53,75
"STRG.16069",985,916,706,857,1108,1049
"STRG.3108",213,240,169,347,408,293
"STRG.3102",6,4,9,20,22,13
"STRG.3105",94,123,91,132,111,180
"STRG.3104",369,362,317,123,109,143
"STRG.12990",14,14,20,42,32,40
"STRG.12994",477,205,368,467,575,656
"STRG.13119",398,310,337,648,681,977
"STRG.13112",430,191,256,339,371,324
"STRG.13113",647,639,566,818,1023,1018
"STRG.2277",475,381,290,110,193,113
"STRG.22059",143,122,158,46,60,51
"STRG.22054",346,234,227,83,67,75
"STRG.22051",2129,1178,1785,3354,3860,4473
"STRG.10360",1227,1004,875,422,332,378
"STRG.5964",416,363,394,465,578,552
"STRG.10362",708,675,583,605,868,739
"STRG.23908",42,45,60,12,13,14
"STRG.23902",4965,5827,4245,1163,1451,1260
"STRG.23904",272,317,250,330,872,611
"STRG.21509",402,369,259,121,138,103
"STRG.21505",442,382,402,142,140,144
"STRG.21502",37,27,26,47,46,60
"STRG.541",1912,1070,1460,598,633,704
